Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
2012-07-07,"$ 10,000 World Championship - No Limit Hold'em (Event #61)43rd World Series of Poker - WSOP 2012, Las Vegas",160th,"$ 244,178",244178,160,10000.0,14679142
2012-08-19,"€ 5,000 + 300 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Barcelona, Barcelona",118th,"$ 3,619",3619,118,5000.0,14682761
2012-09-25,"€ 3,000 + 250 No Limit Hold'em - Shootout (Event #4)World Series Of Poker Europe - WSOPE 2012, Cannes",16th,"$ 1,000,000",1000000,16,3000.0,15682761
2012-09-27,"€ 1,500 + 150 Pot Limit Omaha - Six Handed (Event #6)World Series Of Poker Europe - WSOPE 2012, Cannes",19th,"$ 38,679",38679,19,1500.0,15721440
2012-09-29,"€ 10,000 + 450 No Limit Hold'em - Main Event (Event #7)World Series Of Poker Europe - WSOPE 2012, Cannes",43rd,"$ 448,320",448320,43,10000.0,16169760
2012-10-20,"$ 5,000 + 180 No Limit Hold'emFesta Al Lago, Las Vegas",3rd,"$ 17,096",17096,3,5000.0,16186856
2013-03-17,"$ 125,000 No Limit Hold'em PartyPoker.com Premier League Poker VI, London",13th,"$ 24,942",24942,13,125000.0,16211798
2013-04-08,"A$ 2,200 Mixed EventWorld Series of Poker Asia-Pacific - WSOP APAC 2013, Melbourne",4th,"A$ 16,336",16336,4,2200.0,16228134
2013-04-11,"A$ 10,000 No Limit Hold'em - WSOP APACWorld Series of Poker Asia-Pacific - WSOP APAC 2013, Melbourne",1st,"$ 250,900",250900,1,10000.0,16479034
2013-05-06,"€ 10,000 + 600 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",4th,"$ 420,912",420912,4,10000.0,16899946
2013-05-18,"$ 25,000 + 500 No Limit Hold'em - WPT World ChampionshipWorld Poker Tour - WPT World Championship, Las Vegas",7th,"$ 409,279",409279,7,25000.0,17309225
2013-05-31,"$ 2,500 Omaha/Seven Card Stud Hi/Lo (Event #5)44th World Series of Poker - WSOP 2013, Las Vegas",12th,"$ 12,269",12269,12,2500.0,17321494
2013-06-12,"$ 2,500 Seven Card Stud (Event #23)44th World Series of Poker - WSOP 2013, Las Vegas",26th,"$ 41,683",41683,26,2500.0,17363177
2013-06-14,"$ 3,000 No Limit Hold'em - Mixed Max (Event #27)44th World Series of Poker - WSOP 2013, Las Vegas",49th,"$ 6,475",6475,49,3000.0,17369652
2013-06-18,"$ 5,000 No Limit Hold'em - 6 Handed (Event #32)44th World Series of Poker - WSOP 2013, Las Vegas",39th,"$ 4,155",4155,39,5000.0,17373807
2013-06-22,"$ 5,000 Pot Limit Omaha - 6 Handed (Event #41)44th World Series of Poker - WSOP 2013, Las Vegas",34th,"$ 10,960",10960,34,5000.0,17384767
2013-07-03,"$ 2,500 2-7 Triple Draw Lowball (Event #59)44th World Series of Poker - WSOP 2013, Las Vegas",2nd,"$ 52,718",52718,2,250027.0,17437485
2013-09-05,"€ 10,000 + 300 No Limit Hold'em - High Roller Re-EntryEuropean Poker Tour - EPT Barcelona, Barcelona",2nd,"$ 352,881",352881,2,10000.0,17790366
2013-10-18,"€ 10,000 + 450 No Limit Hold'em - Main Event (Event #6)World Series of Poker Europe - WSOPE 2013, Enghien-les-Bains",25th,"$ 7,082",7082,25,10000.0,17797448
2013-10-21,"€ 25,000 + 600 No Limit Hold'em - High Roller (Event #7)World Series of Poker Europe - WSOPE 2013, Enghien-les-Bains",1st,"$ 979,955",979955,1,25000.0,18777403
2013-12-12,"No Limit Hold'em - 100K EPT Charity Challenge European Poker Tour - EPT Prague, Prague",4th,"$ 26,289",26289,4,,18803692
2014-01-11,"$ 25,000 + 500 No Limit Hold'em High RollerPokerStars Caribbean Adventure - PCA 2014, Paradise Island",14th,"$ 89,560",89560,14,25000.0,18893252
2014-02-07,"A$ 100,000 No Limit Hold'em - $100,000 Challenge2014 Aussie Millions Poker Championship, Melbourne",6th,"$ 32,000",32000,6,100000.0,18925252
2014-02-09,"A$ 250,000 No Limit Hold'em - $250,000 Challenge2014 Aussie Millions Poker Championship, Melbourne",4th,"$ 1,119,610",1119610,4,250000.0,20044862
2014-06-03,"$ 10,000 No Limit 2-7 Draw Lowball (Event #13)45th World Series of Poker - WSOP 2014, Las Vegas",2nd,"$ 1,087,160",1087160,2,10000.0,21132022
2014-06-06,"$ 10,000 Seven Card Razz (Event #18)45th World Series of Poker - WSOP 2014, Las Vegas",10th,"A$ 1,250,000",1250000,10,10000.0,22382022
2014-06-08,"$ 10,000 H.O.R.S.E (Event #22)45th World Series of Poker - WSOP 2014, Las Vegas",18th,"A$ 1,038,825",1038825,18,10000.0,23420847
2014-06-15,"$ 1,500 Seven Card Stud (Event #34)45th World Series of Poker - WSOP 2014, Las Vegas",10th,"$ 28,878",28878,10,1500.0,23449725
2014-06-19,"$ 10,000 No Limit Hold'em - Heads-Up (Event #40)45th World Series of Poker - WSOP 2014, Las Vegas",10th,"$ 137,085",137085,10,10000.0,23586810
2014-06-20,"$ 1,500 Limit Hold'em (Event #43)45th World Series of Poker - WSOP 2014, Las Vegas",63rd,"$ 8,504",8504,63,1500.0,23595314
2014-06-23,"$ 1,500 No Limit Hold'em - Ante-Up (Event #47)45th World Series of Poker - WSOP 2014, Las Vegas",25th,"$ 3,889",3889,25,1500.0,23599203
2014-06-25,"$ 1,500 Eight Game Mix (Event #50)45th World Series of Poker - WSOP 2014, Las Vegas",9th,"$ 2,926",2926,9,1500.0,23602129
2014-06-29,"$ 1,000,000 No Limit Hold'em - The Big One for One Drop (Event #57)45th World Series of Poker - WSOP 2014, Las Vegas",2nd,"$ 11,495",11495,2,1000000.0,23613624
2014-12-15,"$ 10,000 + 400 No Limit Hold'em WPT Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",25th,"$ 9,014",9014,25,10000.0,23622638
2015-01-08,"$ 9,700 + 600 #7 No Limit Hold'em - Main EventPokerStars Caribbean Adventure - PCA 2015, Paradise Island",94th,"$ 107,055",107055,94,9700.0,23729693
2015-01-12,"$ 24,000 + 1,000 #24 No Limit Hold'em - High Roller 8 HandedPokerStars Caribbean Adventure - PCA 2015, Paradise Island",14th,"$ 36,947",36947,14,24000.0,23766640
2015-02-28,"$ 10,000 No Limit Hold'em - Championship2015 L.A Poker Classic, Los Angeles",35th,"$ 29,398",29398,35,10000.0,23796038
2015-05-25,"No Limit Hold'em - Shark Cage Season 2 Shark Cage Season 2, Monte Carlo",1st,"$ 89,100",89100,1,,23885138
2015-06-07,"$ 3,000 Limit Hold'em Six Handed (Event #19)46th World Series of Poker - WSOP 2015, Las Vegas",25th,"$ 492,593",492593,25,3000.0,24377731
2015-06-18,"$ 1,500 Ten Game Mix Six Handed (Event #39)46th World Series of Poker - WSOP 2015, Las Vegas",41st,"$ 966,000",966000,41,1500.0,25343731
2015-06-19,"$ 10,000 Seven Card Stud Hi-Low Split-8 or Better Championship (Event #41)46th World Series of Poker - WSOP 2015, Las Vegas",3rd,"A$ 550,000",550000,3,10000.0,25893731
2015-07-05,"$ 10,000 No Limit Hold'em Main Event (Event #68)46th World Series of Poker - WSOP 2015, Las Vegas",11th,"$ 2,539",2539,11,10000.0,25896270
2015-07-29,"$ 10,000 No Limit Hold'em National Championship World Series of Poker - WSOP National Championship 2015, Cherokee",6th,"$ 156,674",156674,6,10000.0,26052944
2015-12-14,"$ 10,000 + 400 No Limit Hold'em WPT Main Event (Event #16)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",48th,"$ 526,778",526778,48,10000.0,26579722
2015-12-18,"$ 100,000 WPT Alpha8 - No Limit Hold'em High Roller (Event #18)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",3rd,"$ 18,254",18254,3,100000.0,26597976
2016-05-04,"€ 25,000 + 750 No Limit Hold'em - High Roller #63European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",15th,"$ 23,554",23554,15,25000.0,26621530
2016-06-09,"$ 1,500 Seven Card Razz (Event #13)47th World Series of Poker - WSOP 2016, Las Vegas",4th,"$ 26,584",26584,4,1500.0,26648114
2016-06-11,"$ 10,000 No Limit 2-7 Draw Lowball Championship (Event #16)47th World Series of Poker - WSOP 2016, Las Vegas",14th,"$ 96,670",96670,14,10000.0,26744784
2016-06-14,"$ 3,000 No Limit Hold'em 6-Handed  (Event #21)47th World Series of Poker - WSOP 2016, Las Vegas",19th,"$ 6,573",6573,19,3000.0,26751357
2016-06-16,"$ 2,500 No Limit Hold'em (Event #25)47th World Series of Poker - WSOP 2016, Las Vegas",87th,"$ 15,464",15464,87,2500.0,26766821
2016-06-22,"$ 1,500 Pot-Limit Omaha (Event #37)47th World Series of Poker - WSOP 2016, Las Vegas",34th,"$ 8,288,001",8288001,34,1500.0,35054822
2016-06-27,"$ 10,000 2-7 Triple Draw Lowball (Limit) Championship (Event #47)47th World Series of Poker - WSOP 2016, Las Vegas",12th,"$ 4,627",4627,12,1000027.0,35059449
2016-07-02,"$ 50,000 Poker Players Championship (6-handed) (Event #55)47th World Series of Poker - WSOP 2016, Las Vegas",12th,"$ 20,580",20580,12,50000.0,35080029
2016-07-05,"$ 1,500 Seven Card Stud Hi-Lo 8 or Better (Event #60)47th World Series of Poker - WSOP 2016, Las Vegas",30th,"$ 20,783",20783,30,1500.0,35100812
2016-07-12,"$ 1,111 No Limit Hold'em Little One for One Drop  (Event #69)47th World Series of Poker - WSOP 2016, Las Vegas",401st,"$ 30,900",30900,401,1111.0,35131712
2016-12-06,"No Limit Hold'em - Poker Central Charity Shootout Poker Central Charity Shootout, Las Vegas",3rd,"$ 3,721",3721,3,,35135433
2017-01-12,"$ 25,000 + 750 No Limit Hold'em - PokerStars Championship High Roller (Event #66)PokerStars Championship Bahamas, Paradise Island",5th,"$ 6,226",6226,5,25000.0,35141659
2017-04-17,"$ 25,000 + 400 Bellagio Mixed Game High RollerBellagio Mixed Game High Roller 1, Las Vegas",2nd,"$ 175,000",175000,2,25000.0,35316659
2017-04-18,"$ 25,000 + 400 Bellagio Mixed Game High RollerBellagio Mixed Game High Roller 2, Las Vegas",2nd,"$ 113,062",113062,2,25000.0,35429721
2017-04-29,"€ 5,300 No Limit Hold'em - PokerStars Championship Main Event (Event 24)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",51st,"$ 13,155",13155,51,5300.0,35442876
2017-05-22,"$ 10,000 + 300 Bellagio Mixed Game High RollerBellagio Mixed Game High Roller 3, Las Vegas",3rd,"$ 63,647",63647,3,10000.0,35506523
2017-05-26,"$ 98,000 + 2,000 No Limit Hold'em - Super High RollerAria Super High Roller 19, Las Vegas",8th,"$ 211,680",211680,8,98000.0,35718203
2017-05-31,"$ 10,000 No Limit Hold'em - Tag Team Championship (Event #2)48th World Series of Poker - WSOP 2017, Las Vegas",3rd,"$ 640,103",640103,3,10000.0,36358306
2017-06-04,"$ 10,000 Omaha Hi/Lo Championship (Event #9)48th World Series of Poker - WSOP 2017, Las Vegas",2nd,"$ 240,290",240290,2,10000.0,36598596
2017-06-07,"$ 1,500 H.O.R.S.E. (Event #14)48th World Series of Poker - WSOP 2017, Las Vegas",67th,"$ 42,030",42030,67,1500.0,36640626
2017-06-10,"$ 1,500 Eight Game Mix - 6 Handed (Event #21)48th World Series of Poker - WSOP 2017, Las Vegas",15th,"$ 5,975",5975,15,1500.0,36646601
2017-06-14,"$ 1,500 Limit 2-7 Lowball Triple Draw (Event #28)48th World Series of Poker - WSOP 2017, Las Vegas",42nd,"$ 19,449",19449,42,15002.0,36666050
2017-06-15,"$ 10,000 H.O.R.S.E. Championship (Event #30)48th World Series of Poker - WSOP 2017, Las Vegas",6th,"$ 61,667",61667,6,10000.0,36727717
2017-06-19,"$ 10,000 Limit Hold'em Championship (Event #38)48th World Series of Poker - WSOP 2017, Las Vegas",13th,"$ 4,901",4901,13,10000.0,36732618
2017-06-24,"$ 10,000 Seven Card Stud Hi/Lo Championship (Event #48)48th World Series of Poker - WSOP 2017, Las Vegas",18th,"$ 15,182",15182,18,10000.0,36747800
2017-06-30,"$ 2,500 Mixed Big Bet (Event #59)48th World Series of Poker - WSOP 2017, Las Vegas",12th,"$ 92,702",92702,12,2500.0,36840502
2017-07-02,"$ 50,000 Poker Players Championship - 6 Handed (Event #62)48th World Series of Poker - WSOP 2017, Las Vegas",5th,"$ 300,852",300852,5,50000.0,37141354
2017-07-06,"$ 3,000 No Limit Hold'em (Event #68)48th World Series of Poker - WSOP 2017, Las Vegas",29th,"$ 2,105",2105,29,3000.0,37143459
2017-08-19,"€ 50,000 No Limit Hold'em - PokerStars Championship Super High Roller #10PokerStars Championship Barcelona, Barcelona",9th,"$ 138,226",138226,9,50000.0,37281685
2017-09-13,"$ 50,000 No Limit Hold'em - Event #12017 Poker Masters, Las Vegas",8th,"$ 268,780",268780,8,50000.0,37550465
2017-11-29,"$ 100,000 No Limit Hold'em - Super High Roller #1World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",2nd,"$ 936,000",936000,2,100000.0,38486465
2017-12-21,"$ 25,000 No Limit Hold'em - Week 10 - Holidays with Hellmuth Event #3 Poker After Dark (PAD) Season VIII, Las Vegas",2nd,"$ 77,500",77500,2,25000.0,38563965
2018-01-06,"$ 99,700 + 300 #1 No Limit Hold'em - Super High RollerPokerStars Caribbean Adventure - PCA 2018, Paradise Island",4th,"$ 521,140",521140,4,99700.0,39085105
2018-01-12,"$ 24,700 + 300 #22 No Limit Hold'em - High RollerPokerStars Caribbean Adventure - PCA 2018, Paradise Island",9th,"$ 28,500",28500,9,24700.0,39113605
2018-02-03,"$ 25,000 + 1,000 No Limit Hold'em - (Event #3)2018 US Poker Open, Las Vegas",3rd,"$ 165,000",165000,3,25000.0,39278605
2018-02-05,"$ 25,000 + 1,000 Mixed Game Championship - (Event #4)2018 US Poker Open, Las Vegas",7th,"$ 29,939",29939,7,25000.0,39308544
2018-02-07,"$ 25,000 + 1,000 No Limit Hold'em - (Event #6)2018 US Poker Open, Las Vegas",7th,"$ 61,250",61250,7,25000.0,39369794
2018-02-08,"$ 25,000 + 1,000 No Limit Hold'em - (Event #7)2018 US Poker Open, Las Vegas",6th,"$ 2,612",2612,6,25000.0,39372406
2018-02-09,"$ 50,000 + 2,000 No Limit Hold'em - Main Event (Event #8)2018 US Poker Open, Las Vegas",3rd,"$ 264,000",264000,3,50000.0,39636406
2018-05-27,"$ 300,000 No Limit Hold'em2018 Super High Roller Bowl, Las Vegas",2nd,"$ 2,399",2399,2,300000.0,39638805
2018-06-09,"$ 1,500 Eight Game Mix (Event #22)49th World Series of Poker - WSOP 2018, Las Vegas",3rd,"$ 59,788",59788,3,1500.0,39698593
2018-06-26,"$ 1,500 Pot Limit Omaha Hi/Lo 8 or Better (Event #53)49th World Series of Poker - WSOP 2018, Las Vegas",9th,"$ 17,894",17894,9,1500.0,39716487
2018-07-01,"$ 10,000 Seven Card Stud Hi-Lo - Championship (Event #64)49th World Series of Poker - WSOP 2018, Las Vegas",20th,"$ 14,739",14739,20,10000.0,39731226
2018-07-08,"$ 3,000 Pot Limit Omaha - 6 Handed (Event #69)49th World Series of Poker - WSOP 2018, Las Vegas",30th,"$ 7,188",7188,30,3000.0,39738414
2018-07-10,"$ 1,500 No Limit Hold'em/Pot Limit Omaha Mixed (Event #72)49th World Series of Poker - WSOP 2018, Las Vegas",29th,"$ 4,743",4743,29,1500.0,39743157
2018-09-08,"$ 25,000 + 1,000 No Limit Hold'em (Event #2)2018 Poker Masters, Las Vegas",6th,"$ 15,806",15806,6,25000.0,39758963
2018-09-11,"$ 25,000 + 1,000 No Limit Hold'em (Event #5)2018 Poker Masters, Las Vegas",6th,"$ 99,000",99000,6,25000.0,39857963
2019-05-29,"$ 10,000 No Limit Hold'em - Super Turbo Bounty (Event #2)50th World Series of Poker - WSOP 2019, Las Vegas",6th,"$ 102,000",102000,6,10000.0,39959963
2019-06-03,"$ 600 No Limit Hold'em - Deepstack (Event #9)50th World Series of Poker - WSOP 2019, Las Vegas",485th,"$ 1,257",1257,485,600.0,39961220
2019-06-04,"$ 1,500 No Limit 2-7 Lowball Draw (Event #13)50th World Series of Poker - WSOP 2019, Las Vegas",29th,"$ 50,000",50000,29,1500.0,40011220
2019-06-10,"$ 600 Pot Limit Omaha - Deep Stack (Event #25)50th World Series of Poker - WSOP 2019, Las Vegas",381st,$ 875,875,381,600.0,40012095
2019-06-12,"$ 3,000 No Limit Hold'em - 6-Handed (Event #31)50th World Series of Poker - WSOP 2019, Las Vegas",106th,"$ 83,640",83640,106,3000.0,40095735
2019-06-14,"$ 1,000 No Limit Hold'em - Double Stack (Event #34)50th World Series of Poker - WSOP 2019, Las Vegas",523rd,"$ 2,164",2164,523,1000.0,40097899
2019-06-16,"$ 600 No Limit Hold'em - WSOP.com Online Knockout Bounty (Event #38)50th World Series of Poker - WSOP 2019, Las Vegas",46th,"$ 56,250",56250,46,600.0,40154149
2019-06-17,"$ 10,000 Seven Card Stud Championship (Event #41)50th World Series of Poker - WSOP 2019, Las Vegas",2nd,"$ 151,700",151700,2,10000.0,40305849
2019-06-24,"$ 1,500 No Limit Hold'em - Super Turbo Bounty (Event #56)50th World Series of Poker - WSOP 2019, Las Vegas",155th,"$ 75,000",75000,155,1500.0,40380849
2019-06-25,"$ 1,500 Pot Limit Omaha 8 or Better (Event #60)50th World Series of Poker - WSOP 2019, Las Vegas",152nd,"$ 2,330",2330,152,1500.0,40383179
2019-06-26,"$ 10,000 Razz Championship (Event #62)50th World Series of Poker - WSOP 2019, Las Vegas",5th,"$ 3,000,000",3000000,5,10000.0,43383179
2019-06-29,"$ 1,500 Limit Hold'em (Event #66)50th World Series of Poker - WSOP 2019, Las Vegas",20th,"$ 4,360",4360,20,1500.0,43387539
2019-07-03,"$ 3,200 No Limit Hold'em - WSOP.com Online High Roller (Event #74)50th World Series of Poker - WSOP 2019, Las Vegas",72nd,"$ 17,268",17268,72,3200.0,43404807
2019-07-09,"$ 1,500 Pot Limit Omaha - Bounty (Event #78)50th World Series of Poker - WSOP 2019, Las Vegas",42nd,"$ 3,553",3553,42,1500.0,43408360
2019-07-11,"$ 100,000 No Limit Hold'em - High Roller (Event #83)50th World Series of Poker - WSOP 2019, Las Vegas",2nd,"$ 13,565",13565,2,100000.0,43421925
2019-07-14,"$ 3,000 H.O.R.S.E. (Event #87)50th World Series of Poker - WSOP 2019, Las Vegas",36th,"$ 4,734",4734,36,3000.0,43426659
2019-10-14,"€ 550 Pot Limit Omaha - 8-Handed (Event #2)World Series of Poker Europe - WSOPE 2019, Rozvadov",59th,"$ 75,000",75000,59,550.0,43501659
2019-10-18,"€ 25,500 No Limit Short Deck Hold'em - High Roller (Event #6)World Series of Poker Europe - WSOPE 2019, Rozvadov",16th,"$ 41,847",41847,16,25500.0,43543506
2019-10-20,"€ 1,650 Pot Limit Omaha/No Limit Hold'em Mix (Event #9)World Series of Poker Europe - WSOPE 2019, Rozvadov",37th,"$ 2,673",2673,37,1650.0,43546179
2019-10-20,"€ 25,500 No Limit Hold'em - Platinum High Roller (Event #8)World Series of Poker Europe - WSOPE 2019, Rozvadov",10th,"$ 52,099",52099,10,25500.0,43598278
2019-10-21,"€ 25,500 Mixed Games Championship (Event #10)World Series of Poker Europe - WSOPE 2019, Rozvadov",6th,"$ 2,780",2780,6,25500.0,43601058
2019-10-22,"€ 2,200 Pot Limit Omaha - 8-Handed (Event #11)World Series of Poker Europe - WSOPE 2019, Rozvadov",20th,"$ 4,605",4605,20,2200.0,43605663
2019-10-28,"€ 550 No Limit Hold'em - The Colossus (Event #15)World Series of Poker Europe - WSOPE 2019, Rozvadov",195th,"$ 4,514",4514,195,550.0,43610177
2019-12-16,"$ 10,000 + 400 No Limit Hold'em - WPT Five Diamond World Poker Classic (Event #22)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",62nd,"$ 29,220",29220,62,10000.0,43639397
2020-07-02,"$ 1,000 No Limit Hold'em - 8-Handed Deepstack (Event #2)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",18th,"$ 1,652",1652,18,1000.0,43641049
2020-07-03,"$ 400 No Limit Hold'em - (Event #3)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",275th,$ 677,677,275,400.0,43641726
2020-07-06,"$ 600 Pot Limit Omaha 8 or Better - 6-Handed (Event #6)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",59th,"$ 1,762",1762,59,600.0,43643488
2020-07-09,"$ 1,000 No Limit Hold'em - 6-Max (Event #9)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",96th,"$ 1,852",1852,96,1000.0,43645340
2020-07-12,"$ 500 No Limit Hold'em  - The BIG 500 (Event #12)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",205th,"$ 69,223",69223,205,500.0,43714563
2020-07-13,"$ 1,500 No Limit Hold'em - High Roller Freezeout (Event #13)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",27th,"$ 6,381",6381,27,1500.0,43720944
2020-07-16,"$ 500 No Limit Hold'em - Turbo (Event #16)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",86th,"$ 6,310",6310,86,500.0,43727254
2020-07-17,"$ 777 No Limit Hold'em -  (Event #17)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",123rd,"$ 1,354",1354,123,777.0,43728608
2020-07-20,"$ 500 Pot Limit Omaha - 6-Handed (Event #20)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",25th,"$ 1,725,838",1725838,25,500.0,45454446
