Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
2022-07-03,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #70)53rd World Series of Poker - WSOP 2022, Las Vegas",1st,"$ 10,000,000",10000000,1,10000.0,11055356
2022-08-05,"$ 5,300 No Limit Hold'em - SHRPO Championship (Event 32)Seminole Hard Rock Poker Open (SHRPO), Hollywood",29th,"$ 5,260",5260,29,5300.0,11060616
2022-08-28,"$ 10,000 + 1,111 No Limit Hold'em - The One Drop (Event #10)Luxon Pay Mediterranean Poker Party (MPP), Kyrenia",2nd,"$ 52,600",52600,2,10000.0,11113216
2022-09-06,"$ 30,000 No Limit Hold'em - 6-Handed (Event #2)Triton Poker Super High Roller Series Cyprus, Kyrenia",15th,"$ 23,255",23255,15,30000.0,11136471
2022-09-07,"$ 50,000 No Limit Hold'em - 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",17th,"$ 92,000",92000,17,50000.0,11228471
2022-09-22,"$ 840 No Limit Hold'em - 6-Handed Bounty ONLINE (Online Bracelet #30)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",275th,"$ 60,900",60900,275,840.0,11289371
2022-10-20,"£ 24,010 + 990 No Limit Hold'em (Event #10)European Poker Tour - EPT London, London",4th,"$ 95,058",95058,4,24010.0,11384429
2022-10-21,"£ 1,920 + 280 No Limit Hold'em - UKIPT London High Roller (Event #14)European Poker Tour - EPT London, London",102nd,"$ 1,130",1130,102,1920.0,11385559
2022-10-26,"£ 9,700 + 600 No Limit Hold'em - EPT London High Roller (Event #40)European Poker Tour - EPT London, London",15th,"$ 31,259",31259,15,9700.0,11416818
2022-11-07,"€ 25,000 No Limit Hold'em - Platinum High Roller (Bracelet Event #8)World Series of Poker Europe - WSOPE 2022, Rozvadov",9th,"$ 3,577",3577,9,25000.0,11420395
2022-12-12,"$ 9,800 + 600 No Limit Hold'em - WPT World ChampionshipWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",262nd,"$ 19,900",19900,262,9800.0,11440295
2022-12-21,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",11th,"$ 45,155",45155,11,,11485450
2023-03-24,"€ 800 + 80 No Limit Hold'em - Norwegian Championship Heads-Up (Event #5) Poker North Masters & Norwegian Championship 2023, Bratislava",3rd,"$ 7,631",7631,3,800.0,11493081
2023-03-28,"€ 800 + 80 No Limit Hold'em - Norwegian Championship Main Event (Event #25) Poker North Masters & Norwegian Championship 2023, Bratislava",51st,"$ 3,064",3064,51,800.0,11496145
2023-05-30,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",25th,"$ 43,750",43750,25,25000.0,11539895
2023-06-04,"$ 5,000 No Limit Hold'em - Freezeout - 8-Handed (Bracelet Event 12)54th World Series of Poker - WSOP 2023, Las Vegas",63rd,"$ 10,952",10952,63,5000.0,11550847
2023-06-06,"$ 25,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 16)54th World Series of Poker - WSOP 2023, Las Vegas",16th,"$ 56,931",56931,16,25000.0,11607778
2023-06-18,"$ 3,000 No Limit Hold'em (Bracelet Event 44)54th World Series of Poker - WSOP 2023, Las Vegas",21st,"$ 25,168",25168,21,3000.0,11632946
2023-06-23,"$ 1,500 No Limit Hold'em - Millionaire Maker (Bracelet Event 53)54th World Series of Poker - WSOP 2023, Las Vegas",367th,"$ 6,239",6239,367,1500.0,11639185
2023-06-25,"$ 400 No Limit Hold'em - Ultra Deepstack (Online Bracelet Event 10) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",164th,"$ 1,149",1149,164,400.0,11640334
2023-07-02,"$ 500 No Limit Hold'em - Deepstack (Online Bracelet Event 12) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",358th,$ 848,848,358,500.0,11641182
2023-07-14,"$ 10,000 No Limit Hold'em - 6-Handed Championship (Bracelet Event 90)54th World Series of Poker - WSOP 2023, Las Vegas",83rd,"$ 16,088",16088,83,10000.0,11657270
2023-07-16,"$ 777 No Limit Hold'em - Lucky 7's (Online Bracelet Event 20) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",26th,"$ 5,765",5765,26,777.0,11663035
2023-07-16,"$ 500 No Limit Hold'em - Summer Saver (Online Bracelet Event 19) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",98th,"$ 1,455",1455,98,500.0,11664490
2023-07-29,"$ 20,000 + 2,400 + 20,000 No Limit Hold'em - Mystery Bounty 7-Handed (Event #3)Triton Poker Super High Roller Series London, London",1st,"$ 639,000",639000,1,20000.0,12303490
