Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
5/26/2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #11)Super High Roller Bowl Online, Online",9th,"$ 65,455",65455,9,25000,131369034
5/29/2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #19)Super High Roller Bowl Online, Online",5th,"$ 342,000",342000,5,10000,131711034
5/29/2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #21)Super High Roller Bowl Online, Online",4th,"$ 53,625",53625,4,10000,131764659
5/30/2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #22)Super High Roller Bowl Online, Online",6th,"$ 32,725",32725,6,10000,131797384
5/30/2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #23)Super High Roller Bowl Online, Online",5th,"$ 115,000",115000,5,25000,131912384
5/31/2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #27)Super High Roller Bowl Online, Online",2nd,"$ 1,462,043",1462043,2,10000,133374427
7/19/2020,"$ 1,111 Every 1 for Covid Relief (Event #33)World Series of Poker - WSOP Online 2020 at GGPoker, Online",59th,"$ 4,711",4711,59,11111,133379138
7/28/2020,"$ 10,000 Short Deck No Limit Hold'em Championship (Event #43)World Series of Poker - WSOP Online 2020 at GGPoker, Online",2nd,"$ 298,500",298500,2,10000,133677638
8/8/2020,"$ 3,000 + 200 WPT World Championship 6-Max - Online (Event #4)World Poker Tour - WPT Online World Championship by partypoker, Online",103rd,"$ 7,650",7650,103,3000,133685288
8/11/2020,"$ 5,000 No Limit Hold'em 6-Handed Championship (Event #58)World Series of Poker - WSOP Online 2020 at GGPoker, Online",7th,"$ 644,839",644839,7,5000,134330127
8/22/2020,"$ 3,000 + 200 WPT World Championship Mix-Max - Online (Event #6)World Poker Tour - WPT Online World Championship by partypoker, Online",11th,"$ 37,500",37500,11,3000,134367627
8/30/2020,"$ 1,000 Turbo No Limit Hold'em 6-Handed (Event #78)World Series of Poker - WSOP Online 2020 at GGPoker, Online",106th,"$ 1,407,519",1407519,106,1000,135775146
